Country Group Name,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,Estimates Start After
Emerging and developing Europe,General government primary net lending/borrowing,Percent of GDP,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.214,2.441,0.518,1.07,2.36,3.768,3.891,2.718,1.686,-4.499,-2.706,0.495,0.181,-0.621,-0.573,-1.212,-1.506,-0.515,1.28,0.389,-4.338,-0.759,-2.48,-1.815,-1.543,-1.133,-0.95,-0.849,
ASEAN-5,General government primary net lending/borrowing,Percent of GDP,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-0.508,0.385,-0.208,0.618,1.132,1.849,2.058,0.63,1.111,-1.391,-0.544,0.348,-0.647,-0.65,-0.502,-0.523,-0.335,-0.332,0.086,-0.141,-3.597,-3.571,-2.793,-1.709,-1.471,-1.238,-1.014,-0.865,
Latin America and the Caribbean,General government primary net lending/borrowing,Percent of GDP,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.552,0.124,-0.493,0.457,1.686,1.13,-0.248,1.77,2.65,2.951,2.568,2.448,2.495,-0.306,-0.048,0.853,0.171,-0.164,-1.494,-2.08,-2.003,-1.289,-1.403,-0.483,-5.452,-1.023,-0.068,-0.46,0.3,0.717,0.99,1.124,
Middle East and Central Asia,General government primary net lending/borrowing,Percent of GDP,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.708,-0.255,2.191,3.488,8.408,9.26,6.592,8.897,-2.305,1.504,4.03,4.91,2.728,-0.865,-6.158,-7.179,-4.528,-1.048,-1.915,-6.818,-1.989,1.334,1.103,0.855,0.509,0.246,0.211,
Sub-Saharan Africa,General government primary net lending/borrowing,Percent of GDP,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.974,1.467,1.389,0.887,2.462,3.358,6.059,1.82,2.391,-2.985,-2.005,0.206,-0.29,-1.622,-2.07,-2.484,-2.376,-2.218,-1.05,-1.425,-3.641,-2.208,-1.541,-1.152,-0.981,-0.927,-0.867,-0.858,
Advanced economies,General government net debt,Percent of GDP,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,45.562,47.561,49.409,53.308,51.987,49.793,48.291,52.951,63.713,68.969,73.432,76.105,74.941,75.166,75.236,76.858,74.522,74.411,75.23,87.612,86.155,82.7,82.948,84.486,85.847,86.954,88.028,
Euro area,General government net debt,Percent of GDP,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,30.977,31.835,32.199,34.284,49.158,53.019,53.236,57.767,57.769,54.944,54.728,54.855,56.39,56.929,57.407,55.697,53.346,54.79,63.028,67.232,69.805,73.548,75.963,76.264,75.098,74.619,72.496,70.742,69.127,79.389,78.628,76.682,76.18,75.571,75.246,75.099,75.168,
Major advanced economies (G7),General government net debt,Percent of GDP,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,47.611,50.33,53.83,59.068,58.219,56.48,55.854,61.754,73.442,79.737,85.133,88.437,86.783,86.742,86.212,88.117,85.921,86.109,86.765,100.879,99.967,95.611,96.054,98.308,100.23,101.825,103.4,
European Union,General government net debt,Percent of GDP,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,57.394,53.384,53.29,53.309,54.953,55.222,55.238,53.193,50.522,51.632,59.765,63.505,65.564,68.747,70.892,70.974,69.845,69.246,66.912,65.155,63.462,73.003,72.003,69.921,69.083,68.456,68.086,67.92,67.895,
Advanced economies,General government gross debt,Percent of GDP,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,70.095,71.136,73.23,76.638,76.105,73.406,71.048,77.692,90.958,97.322,101.38,105.58,104.121,103.706,103.278,105.732,103.326,102.807,103.913,123.234,117.906,112.402,111.311,111.76,112.66,113.339,114.013,
Euro area,General government gross debt,Percent of GDP,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,71.459,73.493,72.99,72.61,71.585,69.124,68.119,68.067,69.39,69.706,70.413,68.42,66.011,69.698,80.281,85.681,87.568,90.971,92.959,93.115,91.215,90.363,87.852,85.857,83.821,96.913,95.279,92.968,91.3,89.798,88.806,88.116,87.832,
Major advanced economies (G7),General government gross debt,Percent of GDP,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,74.845,76.566,79.652,84.88,84.859,82.39,80.65,88.475,103.423,111.542,116.501,120.625,118.403,117.354,116.367,119.528,117.356,117.113,118.082,140.754,134.735,128.301,127.135,128.087,129.516,130.637,131.759,
Other advanced economies (Advanced economies excluding G7 and euro area),General government gross debt,Percent of GDP,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,35.129,35.852,36.139,36.889,35.105,34.115,33.32,31.463,32.889,35.627,35.788,36.792,38.346,39.358,40.647,41.627,42.084,41.624,41.314,43.306,50.393,51.001,48.763,48.486,48.198,47.876,47.419,46.994,
European Union,General government gross debt,Percent of GDP,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,70.348,72.636,72.044,70.502,69.468,66.396,65.382,65.403,66.644,66.744,67.009,64.778,62.153,65.395,75.514,80.48,82.744,86.628,88.804,89.042,86.987,86.129,83.457,81.388,79.14,91.542,89.8,86.948,85.048,83.599,82.612,81.947,81.585,
Emerging market and developing economies,General government gross debt,Percent of GDP,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,47.695,48.573,51.543,49.611,46.699,41.757,37.189,35.753,33.594,38.664,37.534,36.915,36.944,38.194,40.091,43.941,48.424,50.327,51.609,53.827,63.65,63.687,64.483,67.503,70.238,72.65,74.628,76.23,
Emerging and developing Asia,General government gross debt,Percent of GDP,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,43.504,43.962,44.592,44.803,43.704,41.915,39.197,40.501,36.674,41.514,40.045,39.472,39.443,41.117,43.151,44.639,49.52,52.263,53.855,56.778,67.531,70.122,74.22,79.493,83.624,87.123,90.063,92.517,
Emerging and developing Europe,General government gross debt,Percent of GDP,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50.577,50.155,47.711,43.747,37.336,32.249,26.999,23.577,23.71,29.249,29.054,27.868,26.664,27.673,29.96,31.868,32.582,30.604,30.31,29.747,38.573,36.548,32.266,32.261,32.946,33.564,34.009,33.965,
ASEAN-5,General government gross debt,Percent of GDP,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,60.748,56.894,54.12,51.34,49.133,44.548,39.488,38.965,35.437,37.304,35.465,34.296,35.483,37.027,37.184,38.234,37.878,38.224,38.719,38.363,47.156,49.912,50.796,50.823,50.762,50.485,49.883,49.482,
Latin America and the Caribbean,General government gross debt,Percent of GDP,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,46.405,47.957,58.246,58.739,54.734,50.432,47.571,46.281,46.204,49.094,48.108,48.143,48.323,49.531,51.475,57.389,60.999,63.295,67.062,67.941,77.354,71.802,69.332,69.195,69.901,70.367,70.258,69.783,
Middle East and Central Asia,General government gross debt,Percent of GDP,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,57.427,50.919,54.392,60.446,54.455,54.514,41.868,32.944,28.301,24.273,30.06,27.293,25.102,26.121,26.095,26.116,35.911,43.29,43.954,42.394,45.886,54.384,50.394,43.434,41.185,40.859,41.018,41.024,41.021,
Sub-Saharan Africa,General government gross debt,Percent of GDP,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,62.823,59.779,53.158,48.075,43.538,36.199,27.433,23.96,23.231,26.702,25.711,27.848,27.826,29.923,31.849,37.647,42.29,44.685,47.244,50.061,57.554,57.004,55.529,53.734,52.934,52.37,52.028,51.792,
World,Current account balance,U.S. dollars,Billions,,-57.235,-83.002,-92.745,-76.953,-69.007,-64.732,-67.732,-65.442,-59.458,-85.635,-114.323,-154.599,-139.277,-69.766,-92.485,-78.08,-66.214,-9.909,-88.193,-104.878,-160.066,-188.91,-146.456,-82.434,12.633,55.248,182.975,217.264,89.656,161.39,288.896,312.796,370.624,394.241,386.824,196.854,269.823,467.424,343.193,375.861,337.694,683.256,227.085,322.155,361.779,312.832,215.425,128.427,
Advanced economies,Current account balance,U.S. dollars,Billions,,-91.684,-56.964,-40.506,-33.926,-51.188,-55.916,-19.276,-43.178,-27.946,-58.129,-84.603,-35.322,-34.895,51.281,9.908,20.069,8.221,66.487,16.214,-95.399,-252.652,-240.829,-235.233,-237.934,-215.266,-393.199,-452.909,-391.391,-585.582,-75.182,6.433,-45.94,42.026,233.252,225.461,272.978,369.253,489.322,398.588,379.258,179.907,339.429,-370.866,-170.177,34.889,156.777,215.971,236.578,
Euro area,Current account balance,U.S. dollars,Billions,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,56.94,22.97,-36.11,-94.213,-23.63,43.448,21.655,71.65,11.156,-18.444,5.189,-260.241,-39.909,-41.423,-48.564,123.783,276.138,316.869,313.47,363.987,402.055,397.968,311.079,247.656,356.89,137.297,194.694,291.478,347.883,382.885,424.823,
Major advanced economies (G7),Current account balance,U.S. dollars,Billions,,-47.618,-19.199,-10.436,-18.351,-58.966,-63.925,-37.457,-66.97,-50.489,-60.307,-72.813,-30.943,-35.62,9.597,-22.728,-17.116,-19.556,16.837,-58.762,-168.443,-311.18,-307.594,-321.263,-370.407,-356.263,-486.315,-549.57,-415.599,-541.079,-210.527,-236.774,-281.576,-296.81,-231.013,-239.092,-172.941,-59.217,17.924,-69.668,-8.791,-275.165,-410.234,-939.139,-711.758,-518.846,-425.558,-395.056,-394.425,
Other advanced economies (Advanced economies excluding G7 and euro area),Current account balance,U.S. dollars,Billions,,n/a,n/a,n/a,n/a,3.569,5.732,8.956,19.719,20.47,8.743,4.777,12.621,15.808,28.646,15.979,5.332,10.369,27.419,72.597,74.622,80.651,92.013,97.36,142.046,156.688,160.703,192.095,178.888,154.801,197.498,275.076,258.302,267.114,335.069,350.954,350.318,330.168,333,330.629,345.622,401.037,591.725,484.484,448.549,436.388,448.192,459.575,462.006,
European Union,Current account balance,U.S. dollars,Billions,,-71.157,-54.648,-33.005,-5.004,8.929,9.833,46.736,37.826,45.049,28.258,-3.081,-87.238,-79.531,2.961,4.73,36.346,59.113,95.743,56.431,37.291,-50.042,-6.388,38.77,32.218,109.796,51.252,48.766,4.779,-120.918,76.527,81.697,131.952,312.007,433.337,451.823,443.203,472.348,502.247,509.099,467.734,418.651,571.555,190.547,262.265,374.955,440.804,490.071,541.173,
Emerging market and developing economies,Current account balance,U.S. dollars,Billions,,34.449,-26.038,-52.239,-43.028,-17.818,-8.816,-48.456,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-76.396,-104.406,-9.479,92.586,51.919,88.777,155.5,227.899,448.447,635.884,608.655,675.238,236.573,282.463,358.736,328.597,160.989,161.363,-76.125,-99.43,-21.898,-55.395,-3.396,157.788,343.827,597.952,492.332,326.89,156.055,-0.547,-108.151,
Emerging and developing Asia,Current account balance,U.S. dollars,Billions,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,11.919,53.365,44.716,43.171,39.424,61.623,83.673,91.367,141.545,271.969,395.629,424.168,273.48,238.574,95.328,117.723,97.242,227.383,296.098,212.254,166.377,-51.273,93.199,319.803,250.203,191.609,166.857,131.865,89.203,19.754,-25.182,
Emerging and developing Europe,Current account balance,U.S. dollars,Billions,,-9.047,-7.971,-2.252,-2.52,-0.253,-1.231,-3.488,-0.531,4.417,0.634,-2.954,-3.894,-8.297,-17.706,5.185,-0.79,-2.711,-18.196,-16.404,2.519,19.363,23.952,13.822,4.843,11.05,28.848,6.497,-63.686,-66.317,-13.432,-32.973,-40.368,-30.356,-59.31,-10.945,34.216,-8.378,-19.938,66.086,50.123,0.379,71.001,131.917,131.508,99.458,49.869,10.353,-13.455,
ASEAN-5,Current account balance,U.S. dollars,Billions,,-1.912,-8.441,-13.804,-16.512,-8.339,-5.216,-4.682,-2.023,-3.046,-5.923,-14.305,-17.322,-12.578,-16.057,-20.401,-33.654,-32.426,-18.635,27.944,29.085,24.413,18.458,18.757,24.614,23.131,16.078,44.851,53.206,29.86,66.1,45.423,49.496,3.156,-7.546,18.351,24.462,33.136,32.871,2.689,29.663,57.453,-7.531,15.984,27.469,18.263,6.537,1.612,-4.946,
Latin America and the Caribbean,Current account balance,U.S. dollars,Billions,,-28.908,-45.3,-37.622,0.277,5.824,2.181,-15.046,-5.603,-9.705,-6.797,-4.006,-23.71,-45.914,-55.962,-64.366,-37.795,-38.653,-65.539,-89.362,-55.435,-47.586,-52.457,-15.239,12.437,24.441,37.914,52.814,10.412,-39.045,-32.521,-100.065,-118.365,-150.965,-172.539,-189.938,-172.739,-102.314,-94.713,-142.053,-106.623,-8.684,-79.319,-97.561,-83.702,-87.329,-89.825,-91.652,-98.197,
Middle East and Central Asia,Current account balance,U.S. dollars,Billions,,77.774,59.157,23.833,-10.67,-9.54,-2.482,-17.38,-8.687,-10.166,-4.826,2.581,-68.072,-28.935,-26.291,-13.78,-9.891,4.175,3.66,-35.985,6.609,73.064,44.251,32.315,57.123,93.964,210.619,271.473,252.544,353.408,35.407,188.471,430.911,420.325,334.282,199.745,-140.763,-146.413,-39.022,111.832,17.263,-105.666,121.801,406.541,333.049,242.884,169.558,124.411,89.843,
Sub-Saharan Africa,Current account balance,U.S. dollars,Billions,,1.171,-20.32,-18.718,-10.233,-3.961,2.039,-2.619,-0.372,-4.902,-2.958,-1.016,-5.539,-4.249,-4.366,-6.007,-10.085,0.794,-8.24,-16.021,-7.889,4.574,-3.252,-3.744,-2.576,7.078,29.521,33.131,13.756,3.023,-26.361,-11.545,-8.769,-28.131,-38.687,-64.882,-92.937,-54.579,-34.602,-39.987,-57.358,-48.044,-19.86,-34.554,-55.379,-59.987,-62.749,-63.412,-61.16,
Advanced economies,Current account balance,Percent of GDP,,,-1.089,-0.667,-0.477,-0.384,-0.551,-0.572,-0.161,-0.311,-0.178,-0.355,-0.46,-0.18,-0.165,0.239,0.047,0.079,0.032,0.266,0.065,-0.362,-0.942,-0.907,-0.849,-0.766,-0.624,-1.084,-1.187,-0.939,-1.33,-0.181,0.015,-0.099,0.091,0.498,0.471,0.602,0.794,1.008,0.776,0.731,0.355,0.606,-0.648,-0.286,0.056,0.242,0.32,0.337,
Euro area,Current account balance,Percent of GDP,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.82,0.323,-0.507,-1.452,-0.359,0.605,0.245,0.707,0.106,-0.165,0.04,-1.84,-0.309,-0.327,-0.356,0.979,2.093,2.345,2.685,3.041,3.172,2.904,2.318,1.895,2.451,0.983,1.369,1.952,2.226,2.349,2.504,
Major advanced economies (G7),Current account balance,Percent of GDP,,,-0.69,-0.27,-0.147,-0.245,-0.749,-0.766,-0.371,-0.577,-0.387,-0.445,-0.486,-0.193,-0.207,0.055,-0.121,-0.083,-0.096,0.083,-0.287,-0.781,-1.409,-1.409,-1.427,-1.49,-1.305,-1.707,-1.849,-1.302,-1.616,-0.66,-0.715,-0.8,-0.839,-0.653,-0.66,-0.497,-0.166,0.048,-0.178,-0.022,-0.71,-0.967,-2.157,-1.572,-1.101,-0.867,-0.772,-0.742,
Other advanced economies (Advanced economies excluding G7 and euro area),Current account balance,Percent of GDP,,,n/a,n/a,n/a,n/a,0.445,0.717,0.916,1.635,1.437,0.564,0.267,0.665,0.781,1.412,0.748,0.201,0.367,1.003,2.956,2.837,2.973,3.518,3.41,4.308,4.154,3.859,4.256,3.459,2.832,3.937,4.751,3.898,3.999,4.849,4.986,5.416,5.002,4.687,4.418,4.705,5.504,7.06,5.697,5.069,4.713,4.629,4.539,4.366,
European Union,Current account balance,Percent of GDP,,,-2.221,-1.93,-1.202,-0.186,0.346,0.369,1.28,0.845,0.912,0.562,-0.05,-1.32,-1.09,0.039,0.08,0.439,0.702,1.239,0.708,0.471,-0.688,-0.087,0.481,0.325,0.963,0.431,0.384,0.032,-0.742,0.519,0.561,0.837,2.131,2.832,2.886,3.27,3.401,3.402,3.185,2.981,2.728,3.33,1.147,1.542,2.093,2.345,2.494,2.64,
Emerging market and developing economies,Current account balance,Percent of GDP,,,1.212,-0.838,-1.93,-1.715,-0.873,-0.468,-1.95,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-1.101,-1.562,-0.146,1.304,0.726,1.246,1.934,2.384,3.923,4.702,3.652,3.375,1.237,1.23,1.327,1.146,0.529,0.513,-0.258,-0.336,-0.068,-0.16,-0.01,0.455,0.84,1.295,1.004,0.626,0.281,-0.001,-0.171,
Emerging and developing Asia,Current account balance,Percent of GDP,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.557,2.694,2.057,1.849,1.6,2.283,2.718,2.559,3.431,5.56,6.383,5.688,3.375,2.443,0.817,0.915,0.691,1.495,1.871,1.304,0.93,-0.26,0.453,1.536,1.022,0.695,0.564,0.415,0.262,0.054,-0.064,
Emerging and developing Europe,Current account balance,Percent of GDP,,,-3.524,-2.978,-0.827,-0.932,-0.097,-0.456,-1.22,-0.173,1.285,0.176,-0.765,-1.115,-1.66,-2.634,0.702,-0.089,-0.269,-1.704,-1.714,0.305,2.122,2.563,1.303,0.37,0.654,1.376,0.26,-1.988,-1.685,-0.436,-0.919,-0.962,-0.702,-1.297,-0.254,1.023,-0.255,-0.538,1.71,1.272,0.01,1.652,2.895,2.763,1.984,0.946,0.187,-0.23,
ASEAN-5,Current account balance,Percent of GDP,,,-0.824,-3.63,-5.596,-6.594,-2.931,-2.216,-1.849,-0.74,-1.082,-2.004,-4.3,-4.671,-2.986,-3.406,-3.81,-5.418,-4.675,-2.876,6.706,5.771,4.597,3.578,3.203,3.702,3.1,1.935,4.484,4.47,2.137,4.803,2.662,2.51,0.151,-0.349,0.845,1.161,1.494,1.371,0.105,1.085,2.206,-0.266,0.52,0.824,0.51,0.169,0.039,-0.11,
Latin America and the Caribbean,Current account balance,Percent of GDP,,,-3.398,-4.93,-4.991,0.04,0.81,0.282,-1.963,-0.69,-1.06,-0.66,-0.348,-1.919,-3.394,-3.672,-3.7,-2.023,-1.904,-2.945,-3.993,-2.763,-2.165,-2.448,-0.801,0.642,1.099,1.402,1.663,0.276,-0.89,-0.802,-1.978,-2.025,-2.522,-2.849,-3.163,-3.396,-2.086,-1.735,-2.67,-2.047,-0.2,-1.576,-1.701,-1.375,-1.372,-1.355,-1.324,-1.353,
Middle East and Central Asia,Current account balance,Percent of GDP,,,14.104,10.157,4.142,-1.825,-1.607,-0.406,-2.801,-1.181,-1.317,-0.546,0.23,-8.416,-4.824,-4.102,-2.008,-1.274,0.474,0.392,-3.851,0.631,5.928,3.662,3.154,4.904,6.722,12.326,13.277,10.337,11.682,1.3,5.917,11.453,10.907,8.369,4.882,-3.858,-4.069,-1.051,2.762,0.412,-2.548,2.322,6.477,5.199,3.629,2.419,1.689,1.159,
Sub-Saharan Africa,Current account balance,Percent of GDP,,,-1.167,-3.923,-3.157,-1.731,-1.582,-0.182,-1.08,-0.107,-1.544,-1.301,-0.247,-1.326,-1.023,-1.055,-1.495,-2.042,0.144,-1.435,-2.783,-1.879,1.078,-0.803,-0.857,-0.468,1.047,3.712,3.631,1.308,0.251,-2.276,-0.841,-0.557,-1.699,-2.225,-3.575,-5.728,-3.617,-2.144,-2.284,-3.255,-2.885,-1.059,-1.696,-2.536,-2.533,-2.445,-2.274,-2.02,
Advanced economies,Imports of goods and services,U.S. dollars,Billions,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"4,846.34","4,980.08","5,024.41","5,518.09","6,130.75","5,897.57","6,092.49","6,985.68","8,350.74","9,319.66","10,512.24","11,881.81","13,296.55","10,466.28","12,162.38","14,205.80","14,105.72","14,315.38","14,663.60","13,163.66","13,028.07","14,174.06","15,506.55","15,299.97","13,827.40","16,718.51","18,791.26","19,188.54","19,944.73","20,769.44","21,676.18","22,591.31",
Euro area,Imports of goods and services,U.S. dollars,Billions,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"1,075.61","1,177.24","1,148.33","1,180.70","1,409.58","1,708.68","1,934.99","2,255.38","2,646.40","3,044.04","2,351.10","2,649.21","3,107.00","2,962.48","3,021.32","3,118.53","2,791.29","2,794.06","3,074.29","3,401.24","3,432.97","3,093.24","3,698.50",n/a,n/a,n/a,n/a,n/a,n/a,
Major advanced economies (G7),Imports of goods and services,U.S. dollars,Billions,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"3,112.95","3,246.27","3,323.24","3,537.52","3,903.44","3,759.36","3,847.58","4,357.94","5,116.26","5,686.13","6,386.53","7,037.57","7,753.84","6,054.23","7,014.30","8,121.51","8,043.06","8,087.31","8,355.75","7,562.12","7,449.30","8,026.75","8,757.64","8,607.43","7,643.69","9,229.31","10,490.74","10,598.72","10,905.12","11,291.49","11,738.27","12,177.70",
Other advanced economies (Advanced economies excluding G7 and euro area),Imports of goods and services,U.S. dollars,Billions,,n/a,n/a,n/a,n/a,245.39,246.179,287.697,353.738,420.8,463,524.827,546.135,576.06,599.335,692.584,856.769,903.891,912.43,826.468,"1,059.63","1,257.78","1,160.84","1,224.97","1,407.99","1,727.44","1,963.23","2,236.17","2,581.36","2,981.76","2,418.23","2,979.20","3,590.10","3,704.19","3,779.85","3,755.56","3,326.74","3,258.44","3,578.28","3,880.26","3,750.85","3,464.73","4,239.63","4,689.89","4,886.12","5,120.34","5,345.86","5,581.83","5,828.84",
Emerging market and developing economies,Imports of goods and services,U.S. dollars,Billions,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"1,521.79","1,446.90","1,418.08","1,666.77","1,682.70","1,802.39","2,160.02","2,771.19","3,313.92","3,950.59","4,913.76","6,039.96","5,013.42","6,217.13","7,626.36","8,032.24","8,370.65","8,531.27","7,535.18","7,249.62","8,158.84","9,059.22","8,921.84","7,917.12","10,121.07","11,306.36","11,753.34",n/a,n/a,n/a,n/a,
Emerging and developing Asia,Imports of goods and services,U.S. dollars,Billions,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,527.956,454.74,484.46,603.789,603.627,683.132,846.395,"1,114.96","1,324.79","1,557.90","1,881.58","2,264.05","2,013.95","2,670.55","3,361.34","3,556.58","3,720.82","3,842.34","3,465.43","3,418.13","3,926.71","4,490.22","4,378.48","4,008.14","5,259.71","5,829.13","6,119.67",n/a,n/a,n/a,n/a,
Emerging and developing Europe,Imports of goods and services,U.S. dollars,Billions,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,160.292,216.167,245.698,272.644,262.754,228.699,274.872,282.724,323.647,414.645,536.769,642.51,791.415,"1,035.85","1,302.24",902.847,"1,095.08","1,357.67","1,360.64","1,426.18","1,382.82","1,095.96","1,084.73","1,281.46","1,392.46","1,389.30","1,286.88","1,629.56","1,677.60","1,761.66",n/a,n/a,n/a,n/a,
Latin America and the Caribbean,Imports of goods and services,U.S. dollars,Billions,,129.738,147.052,119.667,86.655,90.456,91.709,93.289,102.35,118.579,129.479,148.001,171.133,204.789,225.802,258.53,281.904,311.51,366.665,386.902,373.857,433.116,425.984,396.386,410.002,495.428,587.931,693.465,832.728,"1,007.48",785.095,"1,006.79","1,236.01","1,306.99","1,344.66","1,341.79","1,193.15","1,096.24","1,198.71","1,316.91","1,277.11","1,050.65","1,414.27","1,628.23","1,633.62",n/a,n/a,n/a,n/a,
Middle East and Central Asia,Imports of goods and services,U.S. dollars,Billions,,147.385,168.482,166.194,169.922,156.848,135.576,117.255,119.394,122.166,136.279,164.718,201.251,210.638,205.337,191.035,222.74,240.76,251.795,242.983,235.74,256.371,265.358,287.41,351.261,454.672,549.574,664.176,858.875,"1,085.90",983.278,"1,052.54","1,192.51","1,317.27","1,379.02","1,447.17","1,333.46","1,264.73","1,341.17","1,393.91","1,394.83","1,166.02","1,344.45","1,612.41","1,658.64",n/a,n/a,n/a,n/a,
Sub-Saharan Africa,Imports of goods and services,U.S. dollars,Billions,,n/a,n/a,n/a,n/a,n/a,45.988,45.547,52.101,58.19,58.788,68.26,71.801,74.101,72.85,77.29,93.855,95.647,102.727,99.517,95.32,98.622,105.007,111.814,137.721,169.371,209.112,243.632,304.723,380.301,328.252,392.173,478.818,490.76,499.961,517.159,447.187,385.797,410.793,465.71,482.112,405.434,473.096,558.994,579.753,n/a,n/a,n/a,n/a,
Advanced economies,Exports of goods and services,U.S. dollars,Billions,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"4,975.40","5,156.29","5,173.03","5,538.05","5,979.34","5,764.90","5,996.64","6,875.59","8,223.13","9,024.10","10,154.26","11,681.10","12,985.66","10,518.66","12,180.25","14,128.51","14,123.41","14,565.63","14,925.41","13,502.72","13,435.98","14,607.14","15,857.89","15,587.09","14,063.51","17,045.34","18,539.76","19,128.30","20,097.81","21,057.25","22,051.10","23,014.98",
